cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K6(8,4)",p5+ucache,11,20,90,0.8876,561,0.888,561,20,0.89
"K6(6,3)",p5+fix0,12,10,45,-1.0,-1,45.001,783536,16,45.0
"K6(8,4)",p5,7,20,90,0.7517,450,0.752,450,20,0.75
"K8(9,4)",base,1,10800,100,22.5536,32,22.554,32,10791,22.56
"K6(6,3)",p5+fix0,11,10,45,-1.0,-1,45.0,759008,17,45.0
"K6(8,4)",p5,6,20,90,0.5898,364,0.59,364,20,0.59
"K6(6,3)",base,10,10,45,3.6248,25269,3.625,25269,10,3.63
"K6(6,3)",p5+upick,10,10,45,-1.0,-1,45.001,538640,49,45.0
"K6(6,3)",p5,6,10,45,13.1143,204798,13.114,204798,10,13.12
"K6(6,3)",p5,2,10,45,2.4942,38423,2.494,38423,10,2.49
"K6(6,3)",p5+wide,19,10,45,0.4143,6017,0.414,6017,10,0.41
"K6(6,3)",p5+upick,1,10,45,-1.0,-1,45.001,536928,57,45.0
"K6(8,4)",p5+wide,6,20,90,1.86,1157,1.86,1157,20,1.86
"K6(6,3)",p5+ucache,12,10,45,6.0948,89124,6.095,89124,8,6.1
"K6(6,3)",p5+ucache,14,10,45,12.8652,202527,12.865,202527,10,12.87
"K6(6,3)",p5+ucache,4,10,45,1.9687,28607,1.969,28607,9,1.97
"K6(8,4)",p5+upick,10,20,90,5.1525,3239,5.153,3239,20,5.15
"K8(9,4)",base,8,10800,100,21.0235,29,21.024,29,10790,21.02
"K6(6,3)",p5+ucache,11,10,45,3.1794,46422,3.179,46422,10,3.18
"K8(9,4)",base,3,10800,100,21.6002,31,21.6,31,10770,21.6
"K8(9,4)",p5+wide,3,10800,100,2.4946,22,2.495,22,10787,2.49
"K6(8,4)",p5+wide,1,20,90,0.7043,420,0.704,420,20,0.7
"K6(8,4)",p5,5,20,90,1.0416,616,1.042,616,20,1.04
"K8(9,4)",p5,13,10800,100,3.4218,29,3.422,29,10789,3.42
"K6(8,4)",p5+fix0,6,20,90,1.109,669,1.109,669,20,1.11
"K6(6,3)",p5+upick,11,10,45,-1.0,-1,45.001,541392,44,45.0
"K6(6,3)",p5+ucache,9,10,45,16.0089,256797,16.009,256797,9,16.01
"K6(8,4)",p5+fix0,9,20,90,1.1732,716,1.173,716,19,1.17
"K6(6,3)",base,19,10,45,14.5571,103841,14.557,103841,10,14.56
"K6(6,3)",p5+upick,6,10,45,-1.0,-1,45.0,537856,58,45.0
"K6(6,3)",p5,10,10,45,1.6103,25269,1.61,25269,10,1.61
"K8(9,4)",p5+wide,13,10800,100,2.8589,23,2.859,23,10773,2.86
"K6(8,4)",p5+upick,1,20,90,3.5051,2143,3.505,2143,20,3.51
"K8(9,4)",p5,3,10800,100,3.6256,31,3.626,31,10770,3.63
"K6(6,3)",base,11,10,45,31.3996,218349,31.4,218349,9,31.4
"K6(8,4)",p5+ucache,16,20,90,0.7123,435,0.712,435,19,0.71
"K8(9,4)",base,16,10800,100,20.576,30,20.576,30,10777,20.58
"K6(6,3)",p5+wide,4,10,45,23.8681,371793,23.868,371793,10,23.87
"K6(6,3)",p5+wide,15,10,45,-1.0,-1,45.001,707872,17,45.0
"K6(6,3)",base,13,10,45,-1.0,-1,45.002,313072,14,45.0
"K6(8,4)",p5+upick,13,20,90,1.41,877,1.41,877,20,1.41
"K6(6,3)",p5+upick,14,10,45,19.218,228231,19.218,228231,8,19.22
"K6(6,3)",base,8,10,45,33.4975,231050,33.497,231050,9,33.5
"K6(8,4)",p5+upick,8,20,90,7.5043,4750,7.504,4750,20,7.5
"K6(8,4)",base,17,20,90,6.4145,751,6.415,751,20,6.41
"K6(6,3)",p5+ucache,19,10,45,6.2565,90159,6.257,90159,10,6.26
"K6(6,3)",p5+fix0,7,10,45,4.3938,72285,4.394,72285,9,4.39
"K6(8,4)",p5+fix0,4,20,90,1.0763,671,1.076,671,20,1.08
"K8(9,4)",p5,12,10800,100,3.25,30,3.25,30,10783,3.25
"K6(8,4)",p5+fix0,15,20,90,1.598,989,1.598,989,20,1.6
"K6(8,4)",p5+ucache,17,20,90,0.9185,573,0.919,573,20,0.92
"K6(8,4)",p5,18,20,90,1.4434,878,1.443,878,20,1.44
"K6(6,3)",base,9,10,45,-1.0,-1,45.002,307312,14,45.0
"K6(6,3)",p5+wide,3,10,45,36.6852,575918,36.685,575918,10,36.69
"K6(8,4)",p5,9,20,90,1.1964,730,1.196,730,20,1.2
